"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Christian McCaffrey",SF,"RB1","2 out of 5 stars","3 out of 5 stars","+1"
"2","Austin Ekeler",LAC,"RB2","3 out of 5 stars","2 out of 5 stars","+1"
"3","Josh Jacobs",LV,"RB3","1 out of 5 stars","1 out of 5 stars","+45"
"4","Justin Jefferson",MIN,"WR1","2 out of 5 stars","3 out of 5 stars","+2"
"5","Derrick Henry",TEN,"RB4","3 out of 5 stars","3 out of 5 stars","0"
"6","Saquon Barkley",NYG,"RB5","3 out of 5 stars","2 out of 5 stars","+15"
"7","Tyreek Hill",MIA,"WR2","3 out of 5 stars","3 out of 5 stars","+12"
"8","Davante Adams",LV,"WR3","3 out of 5 stars","3 out of 5 stars","+3"
"9","T.J. Hockenson",MIN,"TE1","5 out of 5 stars","5 out of 5 stars","+56"
"10","Stefon Diggs",BUF,"WR4","3 out of 5 stars","2 out of 5 stars","+2"
"11","Ja'Marr Chase",CIN,"WR5","3 out of 5 stars","3 out of 5 stars","-2"
"12","Rhamondre Stevenson",NE,"RB6","2 out of 5 stars","3 out of 5 stars","+87"
"13","Amon-Ra St. Brown",DET,"WR6","3 out of 5 stars","3 out of 5 stars","+48"
"14","Dalvin Cook",MIN,"RB7","4 out of 5 stars","4 out of 5 stars","-7"
"15","A.J. Brown",PHI,"WR7","4 out of 5 stars","4 out of 5 stars","+16"
"16","Travis Etienne Jr.",JAC,"RB8","3 out of 5 stars","3 out of 5 stars","+23"
"17","Tony Pollard",DAL,"RB9","3 out of 5 stars","3 out of 5 stars","+69"
"18","CeeDee Lamb",DAL,"WR8","3 out of 5 stars","3 out of 5 stars","0"
"19","James Conner",ARI,"RB10","4 out of 5 stars","4 out of 5 stars","+9"
"20","Jaylen Waddle",MIA,"WR9","3 out of 5 stars","3 out of 5 stars","+26"
"21","Nick Chubb",CLE,"RB11","2 out of 5 stars","2 out of 5 stars","-1"
"22","Aaron Jones",GB,"RB12","3 out of 5 stars","3 out of 5 stars","-5"
"23","Alvin Kamara",NO,"RB13","5 out of 5 stars","5 out of 5 stars","-10"
"24","Travis Kelce",KC,"TE2","3 out of 5 stars","3 out of 5 stars","-10"
"25","Garrett Wilson",NYJ,"WR10","4 out of 5 stars","4 out of 5 stars","+109"
"26","DK Metcalf",SEA,"WR11","3 out of 5 stars","3 out of 5 stars","+21"
"27","Joe Mixon",CIN,"RB14","2 out of 5 stars","2 out of 5 stars","-17"
"28","Keenan Allen",LAC,"WR12","4 out of 5 stars","4 out of 5 stars","-1"
"29","Tee Higgins",CIN,"WR13","3 out of 5 stars","3 out of 5 stars","+5"
"30","Chris Godwin",TB,"WR14","4 out of 5 stars","4 out of 5 stars","+29"
"31","Miles Sanders",PHI,"RB15","2 out of 5 stars","2 out of 5 stars","+52"
"32","Kenneth Walker III",SEA,"RB16","2 out of 5 stars","1 out of 5 stars","+78"
"33","DeAndre Hopkins",ARI,"WR15","4 out of 5 stars","3 out of 5 stars","+47"
"34","Christian Kirk",JAC,"WR16","3 out of 5 stars","4 out of 5 stars","+66"
"35","David Montgomery",CHI,"RB17","3 out of 5 stars","4 out of 5 stars","+1"
"36","Jerick McKinnon",KC,"RB18","4 out of 5 stars","4 out of 5 stars","+188"
"37","Terry McLaurin",WAS,"WR17","3 out of 5 stars","2 out of 5 stars","+3"
"38","Mike Williams",LAC,"WR18","4 out of 5 stars","4 out of 5 stars","+7"
"39","Josh Allen",BUF,"QB1","4 out of 5 stars","4 out of 5 stars","-17"
"40","George Kittle",SF,"TE3","3 out of 5 stars","3 out of 5 stars","-2"
"41","Ezekiel Elliott",DAL,"RB19","3 out of 5 stars","3 out of 5 stars","-11"
"42","Najee Harris",PIT,"RB20","3 out of 5 stars","4 out of 5 stars","-34"
"43","Christian Watson",GB,"WR19","2 out of 5 stars","3 out of 5 stars","+159"
"44","DeVonta Smith",PHI,"WR20","4 out of 5 stars","4 out of 5 stars","+49"
"45","Raheem Mostert",MIA,"RB21","3 out of 5 stars","3 out of 5 stars","+97"
"46","Dalton Schultz",DAL,"TE4","3 out of 5 stars","3 out of 5 stars","+9"
"47","Isiah Pacheco",KC,"RB22","4 out of 5 stars","4 out of 5 stars","+148"
"48","JuJu Smith-Schuster",KC,"WR21","2 out of 5 stars","2 out of 5 stars","+25"
"49","Chris Olave",NO,"WR22","3 out of 5 stars","3 out of 5 stars","+58"
"50","Amari Cooper",CLE,"WR23","3 out of 5 stars","3 out of 5 stars","+18"
"51","J.K. Dobbins",BAL,"RB23","4 out of 5 stars","4 out of 5 stars","-1"
"52","D'Andre Swift",DET,"RB24","4 out of 5 stars","4 out of 5 stars","-37"
"53","Patrick Mahomes II",KC,"QB2","2 out of 5 stars","2 out of 5 stars","-24"
"54","Brian Robinson Jr.",WAS,"RB25","3 out of 5 stars","3 out of 5 stars","+96"
"55","Latavius Murray",DEN,"RB26","3 out of 5 stars","3 out of 5 stars","-"
"56","Jamaal Williams",DET,"RB27","4 out of 5 stars","4 out of 5 stars","+111"
"57","Michael Pittman Jr.",IND,"WR24","2 out of 5 stars","2 out of 5 stars","-24"
"58","Zay Jones",JAC,"WR25","3 out of 5 stars","4 out of 5 stars","+241"
"59","David Njoku",CLE,"TE5","1 out of 5 stars","1 out of 5 stars","+97"
"60","Mike Evans",TB,"WR26","4 out of 5 stars","4 out of 5 stars","-34"
"61","Jerry Jeudy",DEN,"WR27","4 out of 5 stars","4 out of 5 stars","+3"
"62","Rachaad White",TB,"RB28","4 out of 5 stars","4 out of 5 stars","+123"
"63","Cordarrelle Patterson",ATL,"RB29","4 out of 5 stars","3 out of 5 stars","+22"
"64","DJ Moore",CAR,"WR28","3 out of 5 stars","3 out of 5 stars","-22"
"65","Mark Andrews",BAL,"TE6","3 out of 5 stars","3 out of 5 stars","-42"
"66","Brandon Aiyuk",SF,"WR29","3 out of 5 stars","3 out of 5 stars","+31"
"67","Cam Akers",LAR,"RB30","3 out of 5 stars","4 out of 5 stars","-30"
"68","Jalen Hurts",PHI,"QB3","2 out of 5 stars","3 out of 5 stars","-15"
"69","Justin Fields",CHI,"QB4","4 out of 5 stars","2 out of 5 stars","+77"
"70","Zack Moss",IND,"RB31","3 out of 5 stars","3 out of 5 stars","+211"
"71","AJ Dillon",GB,"RB32","3 out of 5 stars","3 out of 5 stars","-4"
"72","Tyler Allgeier",ATL,"RB33","4 out of 5 stars","3 out of 5 stars","+109"
"73","Allen Lazard",GB,"WR30","2 out of 5 stars","3 out of 5 stars","+30"
"74","Devin Singletary",BUF,"RB34","3 out of 5 stars","3 out of 5 stars","+4"
"75","Joe Burrow",CIN,"QB5","2 out of 5 stars","3 out of 5 stars","-18"
"76","Leonard Fournette",TB,"RB35","4 out of 5 stars","4 out of 5 stars","-52"
"77","Drake London",ATL,"WR31","4 out of 5 stars","4 out of 5 stars","+21"
"78","Diontae Johnson",PIT,"WR32","3 out of 5 stars","3 out of 5 stars","-35"
"79","Evan Engram",JAC,"TE7","3 out of 5 stars","2 out of 5 stars","+107"
"80","Gabe Davis",BUF,"WR33","3 out of 5 stars","2 out of 5 stars","-14"
"81","Antonio Gibson",WAS,"RB36","3 out of 5 stars","3 out of 5 stars","-18"
"82","Marquise Brown",ARI,"WR34","4 out of 5 stars","3 out of 5 stars","-24"
"83","Zonovan Knight",NYJ,"RB37","5 out of 5 stars","5 out of 5 stars","-"
"84","James Cook",BUF,"RB38","3 out of 5 stars","3 out of 5 stars","+32"
"85","Justin Herbert",LAC,"QB6","3 out of 5 stars","3 out of 5 stars","-50"
"86","Treylon Burks",TEN,"WR35","4 out of 5 stars","4 out of 5 stars","+40"
"87","Deon Jackson",IND,"RB39","3 out of 5 stars","3 out of 5 stars","-"
"88","Samaje Perine",CIN,"RB40","2 out of 5 stars","2 out of 5 stars","+182"
"89","Tua Tagovailoa",MIA,"QB7","3 out of 5 stars","3 out of 5 stars","+49"
"90","DJ Chark Jr.",DET,"WR36","3 out of 5 stars","3 out of 5 stars","+55"
"91","Jakobi Meyers",NE,"WR37","2 out of 5 stars","2 out of 5 stars","+66"
"92","D'Onta Foreman",CAR,"RB41","3 out of 5 stars","3 out of 5 stars","+136"
"93","Elijah Moore",NYJ,"WR38","4 out of 5 stars","4 out of 5 stars","-1"
"94","Tyler Lockett",SEA,"WR39","3 out of 5 stars","3 out of 5 stars","+2"
"95","Donovan Peoples-Jones",CLE,"WR40","3 out of 5 stars","3 out of 5 stars","+165"
"96","Darius Slayton",NYG,"WR41","4 out of 5 stars","4 out of 5 stars","-"
"97","Dak Prescott",DAL,"QB8","2 out of 5 stars","3 out of 5 stars","-20"
"98","Trevor Lawrence",JAC,"QB9","1 out of 5 stars","1 out of 5 stars","+53"
"99","George Pickens",PIT,"WR42","3 out of 5 stars","3 out of 5 stars","+21"
"100","Adam Thielen",MIN,"WR43","2 out of 5 stars","3 out of 5 stars","-29"
"101","Pat Freiermuth",PIT,"TE8","5 out of 5 stars","5 out of 5 stars","+5"
"102","Joshua Palmer",LAC,"WR44","4 out of 5 stars","4 out of 5 stars","+92"
"103","Lamar Jackson",BAL,"QB10","5 out of 5 stars","5 out of 5 stars","-62"
"104","Dallas Goedert",PHI,"TE9","1 out of 5 stars","1 out of 5 stars","-35"
"105","Gus Edwards",BAL,"RB42","4 out of 5 stars","4 out of 5 stars","+162"
"106","Kirk Cousins",MIN,"QB11","3 out of 5 stars","3 out of 5 stars","+13"
"107","Michael Carter",NYJ,"RB43","5 out of 5 stars","5 out of 5 stars","+6"
"108","Geno Smith",SEA,"QB12","3 out of 5 stars","2 out of 5 stars","-"
"109","Jeff Wilson Jr.",MIA,"RB44","3 out of 5 stars","3 out of 5 stars","+140"
"110","Kareem Hunt",CLE,"RB45","2 out of 5 stars","2 out of 5 stars","-26"
"111","Chuba Hubbard",CAR,"RB46","3 out of 5 stars","3 out of 5 stars","+99"
"112","Jared Goff",DET,"QB13","3 out of 5 stars","2 out of 5 stars","+97"
"113","Khalil Herbert",CHI,"RB47","3 out of 5 stars","4 out of 5 stars","+66"
"114","Tyler Boyd",CIN,"WR45","3 out of 5 stars","3 out of 5 stars","+19"
"115","Gerald Everett",LAC,"TE10","3 out of 5 stars","3 out of 5 stars","+69"
"116","Cole Kmet",CHI,"TE11","3 out of 5 stars","3 out of 5 stars","+1"
"117","Mack Hollins",LV,"WR46","3 out of 5 stars","3 out of 5 stars","-"
