PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Christian McCaffrey,CAR,RB,23,16,16,0.0,0.0,0.0,17.9,86.7,4.83,0.94,8.88,7.25,62.8,0.25,0.0,1.19,29.4,13.4
Lamar Jackson,BAL,QB,22,15,15,208.5,2.4,0.4,11.7,80.4,6.85,0.47,0.0,0.0,0.0,0.0,0.13,0.47,27.7,10.1
Derrick Henry,TEN,RB,25,15,15,0.0,0.0,0.0,20.2,102.7,5.08,1.07,1.6,1.2,13.7,0.13,0.2,1.2,19.6,9.07
Aaron Jones,GNB,RB,25,16,16,0.0,0.0,0.0,14.8,67.8,4.59,1.0,4.25,3.06,29.6,0.19,0.13,1.19,19.7,7.81
Ezekiel Elliott,DAL,RB,24,16,16,0.0,0.0,0.0,18.8,84.8,4.51,0.75,4.44,3.38,26.3,0.13,0.13,0.88,19.5,7.31
Dalvin Cook,MIN,RB,24,14,14,0.0,0.0,0.0,17.9,81.1,4.54,0.93,4.5,3.79,37.1,0.0,0.14,0.93,20.9,7.07
Michael Thomas,NOR,WR,26,16,15,0.0,0.0,0.0,0.06,-0.56,-9.0,0.0,11.6,9.31,107.8,0.56,0.0,0.56,23.4,6.06
Travis Kelce,KAN,TE,30,16,16,0.0,0.0,0.0,0.06,0.25,4.0,0.06,8.5,6.06,76.8,0.31,0.06,0.38,15.9,5.0
Nick Chubb,CLE,RB,24,16,16,0.0,0.0,0.0,18.6,93.4,5.01,0.5,3.06,2.25,17.4,0.0,0.19,0.5,15.9,4.94
Austin Ekeler,LAC,RB,24,16,8,0.0,0.0,0.0,8.25,34.8,4.22,0.19,6.75,5.75,62.1,0.5,0.13,0.69,19.3,4.75
Mark Ingram,BAL,RB,30,15,15,0.0,0.0,0.0,13.5,67.9,5.04,0.67,1.93,1.73,16.5,0.33,0.13,1.0,16.2,5.07
Dak Prescott,DAL,QB,26,16,16,306.4,1.88,0.69,3.25,17.3,5.33,0.19,0.0,0.0,0.0,0.0,0.13,0.19,21.1,4.63
Mark Andrews,BAL,TE,24,15,4,0.0,0.0,0.0,0.0,0.0,,0.0,6.53,4.27,56.8,0.67,0.07,0.67,13.8,4.4
Russell Wilson,SEA,QB,31,16,16,256.9,1.94,0.31,4.69,21.4,4.56,0.19,0.0,0.0,0.0,0.0,0.13,0.19,20.5,4.06
Chris Godwin,TAM,WR,23,14,14,0.0,0.0,0.0,0.07,0.57,8.0,0.0,8.64,6.14,95.2,0.64,0.0,0.64,19.7,4.36
George Kittle,SFO,TE,26,14,14,0.0,0.0,0.0,0.36,1.57,4.4,0.0,7.64,6.07,75.2,0.36,0.0,0.36,15.9,4.36
Deshaun Watson,HOU,QB,24,15,15,256.8,1.73,0.8,5.47,27.5,5.04,0.47,0.07,0.07,0.4,0.07,0.2,0.53,21.4,3.73
Chris Carson,SEA,RB,25,15,15,0.0,0.0,0.0,18.5,82.0,4.42,0.47,3.13,2.47,17.7,0.13,0.27,0.6,15.5,3.67
Darren Waller,OAK,TE,27,16,16,0.0,0.0,0.0,0.13,0.31,2.5,0.0,7.31,5.63,71.6,0.19,0.06,0.19,13.8,3.38
Kenny Golladay,DET,WR,26,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,7.25,4.06,74.4,0.69,0.06,0.69,15.5,3.38
